event,flag,grp,dev_only,eval_only,both,z_eval_excess
pf_fold_3rd_Ybehind,deficit_16,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,deficit_16,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,deficit_25,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,deficit_25,tight,0,0,0,0.0
pf_call_Yraise,dirtop_G6,sym,191,174,0,-0.89
pf_call_Yraise,dirtop_G6,tight,48,34,0,-1.55
pf_call_Yraise,dirtop_G10,sym,13,14,0,0.19
pf_call_Yraise,dirtop_G10,tight,4,1,0,-1.34
pf_call_Yraise,dirtop_G16,sym,1,0,0,-1.0
pf_call_Yraise,dirtop_G16,tight,0,0,0,0.0
pf_call_Yraise,dirtop_G25,sym,0,0,0,0.0
pf_call_Yraise,dirtop_G25,tight,0,0,0,0.0
pf_call_Yraise,symtop_G3,sym,6,10,0,1.0
pf_call_Yraise,symtop_G3,tight,2,2,0,0.0
pf_call_Yraise,symtop_G6,sym,0,1,0,1.0
pf_call_Yraise,symtop_G6,tight,0,0,0,0.0
pf_call_Yraise,symtop_G10,sym,0,0,0,0.0
pf_call_Yraise,symtop_G10,tight,0,0,0,0.0
pf_call_Yraise,gmax_16,sym,1,0,0,-1.0
pf_call_Yraise,gmax_16,tight,0,0,0,0.0
pf_call_Yraise,gmax_25,sym,0,0,0,0.0
pf_call_Yraise,gmax_25,tight,0,0,0,0.0
pf_call_Yraise,gmax_40,sym,0,0,0,0.0
pf_call_Yraise,gmax_40,tight,0,0,0,0.0
pf_call_Yraise,deficit_10,sym,22,18,0,-0.63
pf_call_Yraise,deficit_10,tight,2,2,0,0.0
pf_call_Yraise,deficit_16,sym,0,0,0,0.0
pf_call_Yraise,deficit_16,tight,0,0,0,0.0
pf_call_Yraise,deficit_25,sym,0,0,0,0.0
pf_call_Yraise,deficit_25,tight,0,0,0,0.0
pf_3bet_Yraise,dirtop_G6,sym,408,385,4,-0.82
pf_3bet_Yraise,dirtop_G6,tight,81,79,0,-0.16
